S1201_C01_001E,S1201_C01_017E,S1201_C01_018E,S1201_C01_019E,S1201_C01_020E,S1201_C01_021E,S1201_C01_022E,S1201_C01_023E,S1201_C01_024E,S1201_C01_025E,S1201_C01_026E,S1201_C02_001E,S1201_C03_001E,S1201_C04_001E,S1201_C05_001E,S1201_C06_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
6081,5635,4563,652,0,355,0,65,446,800,4057,56.7,3.8,8.0,2.5,28.9,48439111532,48,439,111532
4756,4569,3426,739,76,206,5,117,187,1150,2713,54.5,2.3,12.2,1.1,29.9,48439111533,48,439,111533
5226,5071,4104,808,24,106,11,18,155,736,3420,58.7,2.6,11.6,0.3,26.8,48439111534,48,439,111534
2699,2620,1106,1153,26,146,0,189,79,928,441,44.9,2.3,9.1,3.4,40.2,48439111536,48,439,111536
5077,4960,1826,2030,0,791,0,313,117,1150,1032,47.9,4.9,12.9,0.3,33.9,48439111537,48,439,111537
4873,4754,2435,1812,0,166,0,341,119,1487,1340,44.3,2.4,15.1,0.0,38.3,48439111538,48,439,111538
7455,7176,3262,2343,0,876,0,695,279,1894,2206,51.1,7.1,8.4,2.8,30.6,48439111539,48,439,111539
6035,5882,2574,1241,0,917,0,1150,153,2125,1599,44.9,3.7,12.3,3.3,35.9,48439111540,48,439,111540
2784,2642,1339,978,0,169,0,156,142,762,777,49.1,3.9,9.8,0.5,36.8,48439111541,48,439,111541
5550,5375,2144,1606,8,699,25,893,175,1515,1610,49.3,4.4,7.4,0.6,38.3,48439111542,48,439,111542
5629,5418,2056,2611,0,353,0,398,211,1164,1355,34.2,3.1,12.7,3.7,46.2,48439111543,48,439,111543
6566,6396,3761,1989,0,255,0,391,170,1358,2828,46.8,5.4,10.0,3.3,34.5,48439111544,48,439,111544
1936,1927,1644,91,6,158,0,28,9,108,1570,60.2,4.3,12.8,0.3,22.4,48439111545,48,439,111545
5388,5343,4260,616,45,349,0,73,45,496,3871,50.4,3.7,12.9,1.4,31.6,48439111546,48,439,111546
14784,14733,5330,5058,256,2371,66,1652,51,4057,2741,40.1,5.2,10.9,4.0,39.9,48439111547,48,439,111547
6983,6595,2077,2717,0,1355,49,397,388,1147,1502,58.3,2.8,6.0,0.4,32.5,48439111548,48,439,111548
8353,8222,3896,2990,14,922,0,400,131,1564,2762,63.3,1.6,6.8,2.3,26.0,48439111549,48,439,111549
10352,9928,3420,4500,55,1098,0,855,424,2085,2373,48.9,2.7,12.9,1.4,34.1,48439111550,48,439,111550
5843,5701,3192,1712,0,685,0,112,142,511,2703,61.2,2.7,9.4,0.0,26.7,48439111551,48,439,111551
2960,2882,2503,200,0,171,0,8,78,362,2149,55.7,6.0,14.8,2.0,21.6,48439111552,48,439,111552
3336,3189,2198,552,0,205,0,234,147,789,1731,36.7,3.1,15.9,2.1,42.1,48439111553,48,439,111553
2698,2664,2052,443,0,101,11,57,34,419,1674,52.8,7.1,13.2,0.0,26.9,48439113001,48,439,113001
5481,5461,3438,1797,0,85,0,141,20,2917,662,31.9,3.1,15.2,6.8,42.9,48439113002,48,439,113002
3972,3798,2572,927,0,227,0,72,174,544,2114,39.8,3.6,13.5,2.8,40.3,48439113102,48,439,113102
3156,3060,1725,1172,12,138,0,13,96,390,1382,33.8,2.6,12.4,3.9,47.4,48439113104,48,439,113104
1782,1782,1612,113,0,43,0,14,0,99,1527,59.1,5.7,14.5,0.6,20.0,48439113107,48,439,113107
3890,3774,3366,146,0,262,0,0,116,337,3039,66.6,5.9,7.4,1.1,19.0,48439113108,48,439,113108
3524,3482,1949,1070,2,209,64,188,42,708,1388,42.5,5.0,9.6,4.0,38.9,48439113109,48,439,113109
3721,3657,1945,1501,83,63,0,65,64,839,1289,37.3,3.4,16.9,1.4,41.1,48439113110,48,439,113110
3507,3398,1287,1730,77,119,0,185,109,646,884,24.8,1.4,11.7,3.8,58.2,48439113111,48,439,113111
1842,1820,1366,336,0,70,24,24,22,238,1159,40.2,4.4,9.4,4.8,41.1,48439113112,48,439,113112
3253,3158,1160,1740,17,160,0,81,95,398,857,29.4,0.7,15.3,0.7,53.8,48439113113,48,439,113113
3907,3841,1911,1130,0,554,0,246,66,498,1725,45.2,2.5,6.8,2.6,42.9,48439113114,48,439,113114
2675,2643,1844,680,0,86,0,33,32,1099,802,33.0,2.5,12.0,4.1,48.3,48439113115,48,439,113115
3498,3341,1650,1315,0,197,0,179,157,766,1052,30.0,3.7,23.4,4.9,37.9,48439113116,48,439,113116
4304,4175,3671,107,32,85,0,280,129,1094,2857,45.5,5.4,13.4,7.6,28.2,48439113206,48,439,113206
3406,3392,3190,115,33,33,0,21,14,310,2901,62.1,6.0,8.0,1.7,22.2,48439113207,48,439,113207
6136,6054,5400,333,18,260,0,43,82,756,4687,68.2,5.8,6.3,0.0,19.7,48439113210,48,439,113210
3996,3968,3561,89,21,65,0,232,28,569,3224,50.8,7.6,10.1,1.6,29.9,48439113212,48,439,113212
2994,2891,2372,105,117,41,0,256,103,647,2084,58.5,8.0,11.0,0.2,22.2,48439113213,48,439,113213
4869,4615,3808,319,0,183,0,305,254,911,3293,44.0,7.1,16.0,0.7,32.2,48439113214,48,439,113214
3972,3946,3623,205,0,107,0,11,26,488,3241,52.7,5.9,10.4,3.5,27.5,48439113215,48,439,113215
3960,3900,3394,150,37,203,0,116,60,706,2822,54.8,7.7,9.0,3.0,25.5,48439113216,48,439,113216
3826,3640,2990,394,8,200,0,48,186,554,2499,47.8,5.6,11.3,2.3,33.0,48439113217,48,439,113217
2894,2799,2316,182,0,273,0,28,95,252,2092,54.0,3.9,11.1,0.3,30.6,48439113218,48,439,113218
5445,5404,3000,658,179,732,174,661,41,1375,2396,33.1,5.2,15.7,4.9,41.2,48439113220,48,439,113220
4838,4735,4291,259,28,43,0,114,103,468,3937,44.5,8.9,17.8,1.2,27.6,48439113221,48,439,113221
3476,3327,2867,209,99,82,0,70,149,511,2493,52.2,7.5,12.2,3.3,24.8,48439113301,48,439,113301
3493,3385,2669,31,0,148,268,269,108,963,1940,41.4,10.2,13.5,4.1,30.7,48439113302,48,439,113302
2399,2357,2229,56,0,54,0,18,42,567,1680,54.6,7.8,9.8,2.0,25.8,48439113403,48,439,113403
4586,4459,3049,763,39,67,0,541,127,750,2799,42.8,7.0,18.5,0.4,31.2,48439113404,48,439,113404
4982,4943,3669,462,7,234,0,571,39,1491,2795,44.3,4.5,12.8,3.4,35.0,48439113405,48,439,113405
3958,3851,2569,572,55,279,0,376,107,1396,1631,47.3,2.6,17.2,2.1,30.9,48439113407,48,439,113407
4479,4280,3212,439,156,110,71,292,199,955,2621,50.6,3.8,15.3,0.6,29.7,48439113408,48,439,113408
3531,3404,2355,244,11,224,192,378,127,891,1898,42.5,6.8,12.5,2.4,35.7,48439113509,48,439,113509
4521,4432,2632,293,43,1252,15,197,89,949,1939,47.2,3.9,16.3,0.3,32.2,48439113510,48,439,113510
3219,3219,1783,613,29,702,0,92,0,367,1482,49.1,3.0,12.9,1.5,33.5,48439113511,48,439,113511
4722,4462,3465,376,78,212,0,331,260,1135,2770,38.9,9.1,19.4,1.5,31.2,48439113512,48,439,113512
4461,4396,3315,312,18,535,130,86,65,962,2424,47.7,3.5,16.0,0.8,31.9,48439113513,48,439,113513
3579,3483,1990,563,35,543,42,310,96,1064,1357,47.2,4.6,14.7,2.2,31.2,48439113514,48,439,113514
3529,3468,2795,208,102,149,88,126,61,553,2478,53.6,5.8,8.3,2.8,29.6,48439113516,48,439,113516
3259,3178,2409,434,10,278,0,47,81,528,1960,50.1,4.4,16.6,1.4,27.5,48439113517,48,439,113517
4622,4336,2844,753,31,504,0,204,286,924,2221,43.7,2.1,11.7,3.6,38.9,48439113518,48,439,113518
5463,5334,3941,440,0,765,37,151,129,831,3272,52.4,2.9,14.8,1.8,28.1,48439113519,48,439,113519
3978,3877,2855,398,0,486,0,138,101,464,2551,50.7,2.8,15.3,2.0,29.3,48439113520,48,439,113520
3237,3139,2570,400,43,96,0,30,98,482,2142,43.4,9.1,18.5,3.2,25.8,48439113607,48,439,113607
10936,10749,9949,205,0,551,0,44,187,502,9515,67.4,3.5,7.4,0.7,21.0,48439113610,48,439,113610
3428,3360,3053,157,0,141,0,9,68,290,2772,65.3,4.3,9.8,1.0,19.6,48439113611,48,439,113611
3673,3625,3492,46,0,75,0,12,48,184,3352,63.1,5.6,12.8,1.0,17.5,48439113612,48,439,113612
3541,3501,2985,179,162,108,0,67,40,303,2776,56.2,5.6,12.3,1.4,24.4,48439113613,48,439,113613
4948,4899,4075,564,11,219,0,30,49,755,3418,50.1,4.0,16.4,1.6,27.9,48439113618,48,439,113618
4375,4232,2531,1439,117,132,0,13,143,729,1856,43.4,5.3,10.9,1.6,38.7,48439113619,48,439,113619
5849,5849,5395,66,0,362,0,26,0,387,5034,68.3,3.0,11.3,0.4,17.0,48439113622,48,439,113622
2668,2618,2518,39,0,48,0,13,50,225,2324,64.9,3.9,13.4,0.3,17.5,48439113623,48,439,113623
3752,3688,3088,218,13,342,0,27,64,503,2644,58.7,2.0,11.7,0.2,27.4,48439113624,48,439,113624
2681,2668,2470,27,14,98,0,59,13,192,2351,69.1,4.9,7.2,0.5,18.3,48439113625,48,439,113625
3169,3129,2957,47,0,112,0,13,40,307,2683,62.7,4.1,8.4,0.4,24.4,48439113626,48,439,113626
5223,5141,3532,905,92,339,0,273,82,726,3047,32.6,6.3,16.9,2.8,41.4,48439113627,48,439,113627
4238,4088,2048,984,40,341,592,83,150,518,1683,46.7,5.5,9.0,4.3,34.4,48439113628,48,439,113628
3960,3960,3142,370,0,162,0,286,0,455,2973,41.2,13.4,12.6,2.4,30.5,48439113629,48,439,113629
3191,3022,2273,468,20,241,0,20,169,373,1937,39.5,3.6,16.6,1.5,38.8,48439113630,48,439,113630
5379,5207,3667,559,143,174,0,664,172,2087,2491,38.2,4.8,12.2,5.5,39.4,48439113631,48,439,113631
