S0601_C01_001E,S0601_C01_011E,S0601_C01_012E,S0601_C01_013E,S0601_C01_014E,S0601_C01_015E,S0601_C01_016E,S0601_C01_017E,S0601_C01_018E,S0601_C01_019E,S0601_C01_020E,S0601_C01_021E,S0601_C01_022E,S0601_C01_023E,S0601_C01_024E,S0601_C01_025E,S0601_C01_026E,S0601_C01_027E,S0601_C01_028E,S0601_C01_034E,S0601_C01_035E,S0601_C01_036E,S0601_C01_037E,S0601_C01_038E,S0601_C01_039E,S0601_C01_040E,S0601_C01_041E,S0601_C01_042E,S0601_C01_043E,S0601_C01_044E,S0601_C01_045E,S0601_C01_046E,S0601_C01_047E,S0601_C01_048E,FIPS,STATEFP,COUNTYFP,TRACTCE
5397,52.0,48.0,99.1,97.4,0.3,0.7,0.7,0.0,0.0,0.9,14.6,82.9,4988,11.8,11.0,0.8,4379,25.6,42.1,28.9,7.9,4.2,4379,14.8,10.8,11.8,10.1,11.9,6.0,3.9,6.8,25478,5293,48467950100,48,467,950100
3622,43.6,56.4,99.1,90.6,1.4,0.1,0.0,0.3,6.7,0.9,21.7,76.0,3211,19.2,9.1,10.1,2628,20.5,36.0,25.8,5.4,1.1,2628,22.0,8.4,23.7,13.7,9.4,4.9,0.6,2.5,19152,3463,48467950200,48,467,950200
5124,47.6,52.4,97.6,92.7,3.1,1.0,0.1,0.0,0.6,2.4,6.5,86.8,4839,5.0,2.7,2.3,4029,24.4,30.8,39.5,12.5,6.1,4029,13.1,7.3,12.2,8.6,15.9,8.5,3.8,13.0,35060,4995,48467950300,48,467,950300
4191,48.9,51.1,98.2,94.9,0.7,1.6,0.0,0.0,1.1,1.8,7.6,88.8,4020,4.5,1.7,2.8,3553,15.3,43.3,33.2,6.7,2.0,3553,16.6,10.4,20.1,10.0,12.2,10.1,2.6,8.3,23605,4092,48467950400,48,467,950400
4804,43.5,56.5,100.0,86.9,10.4,1.2,0.0,0.0,1.4,0.0,12.7,76.1,4361,8.2,6.1,2.1,3746,26.1,35.3,27.2,8.8,2.4,3746,19.6,7.7,22.5,10.8,12.9,4.9,2.4,6.1,22420,4697,48467950500,48,467,950500
7512,49.0,51.0,98.7,94.7,0.5,0.8,2.7,0.0,0.0,1.3,8.0,87.3,7155,6.3,4.7,1.7,6168,18.5,32.2,39.6,13.0,4.2,6168,17.0,9.5,12.8,9.4,11.9,8.7,4.0,12.2,27977,7432,48467950600,48,467,950600
4131,49.9,50.1,97.7,89.8,6.3,0.0,0.0,0.9,0.7,2.3,4.0,86.7,3876,5.4,2.9,2.6,3440,23.5,30.4,34.4,14.0,5.1,3440,15.0,8.3,17.6,12.4,16.5,3.8,4.3,12.4,27285,3817,48467950700,48,467,950700
5777,47.3,52.7,96.5,91.8,3.2,0.0,0.0,0.0,1.5,3.5,16.5,78.1,5555,9.3,3.5,5.8,4654,22.2,30.6,36.9,11.9,7.2,4654,17.2,6.7,18.7,9.8,11.8,11.5,3.4,9.0,26231,5777,48467950800,48,467,950800
8370,53.6,46.4,99.3,95.1,3.2,0.0,0.0,0.0,1.0,0.7,12.1,84.0,8013,9.6,3.6,6.0,7117,21.0,30.3,37.7,14.5,4.1,7117,16.1,7.4,15.8,13.5,10.8,8.1,4.1,9.1,26858,8368,48467950900,48,467,950900
6175,50.9,49.1,95.5,93.9,0.6,0.0,0.4,0.0,0.6,4.5,7.2,87.3,5956,1.4,1.3,0.2,5047,17.5,36.2,34.0,14.7,4.0,5047,11.5,9.4,11.3,12.2,15.5,7.2,3.9,13.0,32350,6150,48467951000,48,467,951000
2251,54.2,45.8,99.9,88.2,6.9,0.0,1.4,0.0,3.4,0.1,71.0,21.1,2140,52.9,43.2,9.7,1824,45.6,28.5,29.5,10.2,2.9,1824,24.5,14.4,17.8,7.1,4.7,5.3,4.2,6.0,15828,1871,48469000100,48,469,000100
2811,44.0,56.0,99.1,87.9,7.2,0.0,3.0,0.0,1.1,0.9,74.2,15.6,2630,46.0,33.0,13.0,2201,28.5,42.5,16.9,3.6,2.4,2201,29.0,15.3,12.7,13.4,5.1,2.4,0.6,4.3,13835,2790,48469000201,48,469,000201
5921,45.8,54.2,93.2,76.5,8.2,0.0,1.4,0.0,7.1,6.8,73.8,13.1,5241,37.4,27.3,10.1,4152,31.6,34.1,28.0,4.8,3.6,4152,20.1,11.9,20.3,11.3,10.1,8.1,1.7,3.9,20745,5782,48469000202,48,469,000202
2246,52.2,47.8,97.7,80.8,15.0,0.0,0.0,0.0,2.0,2.3,77.5,6.9,2107,65.5,56.1,9.4,1758,33.2,36.5,21.4,4.9,1.1,1758,27.5,9.1,18.1,13.5,4.0,4.6,1.3,1.6,16159,2243,48469000301,48,469,000301
